"Name","H","AB","BA","Rating"
"Mac Williamson",7,32,0.21875,0.264665606465865
"Bobby Wilson",25,132,0.189393939393939,0.285801943227922
"C.J. Wilson",2,6,0.333333333333333,0.37089395438831
"Josh Wilson",12,38,0.315789473684211,0.346552033160339
"Tyler Wilson",0,2,0,0.241931512895618
"Matt Wisler",4,29,0.137931034482759,0.166260482208476
"Kolten Wong",146,557,0.262118491921005,0.751520261184018
"Alex Wood",9,55,0.163636363636364,0.193776005543003
"Travis Wood",3,30,0.1,0.131346309342047
"Rob Wooten",0,1,0,0.32257535052749
"Vance Worley",3,17,0.176470588235294,0.208903270665545
"David Wright",44,152,0.289473684210526,0.428438170484228
"Mike Wright",1,2,0.5,0.485606100032762
"Steven Wright",0,1,0,0.32257535052749
"Christian Yelich",143,476,0.300420168067227,0.764341242558901
"Rafael Ynoa",33,127,0.259842519685039,0.394045818556974
"Chris Young",2,4,0.5,0.487322674802698
"Chris Young",80,318,0.251572327044025,0.703124338727407
"Delmon Young",47,174,0.270114942528736,0.415400232210207
"Eric Young",13,85,0.152941176470588,0.193630461528118
"Jordan Zimmermann",10,63,0.158730158730159,0.186684607317607
"Ryan Zimmerman",86,346,0.248554913294798,0.499694960747711
"Ben Zobrist",129,467,0.276231263383298,0.633221905907129
"Mike Zunino",61,350,0.174285714285714,0.324777500109914
